Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SWE;SWE000005755;;CHA;2014-03-27;2100-12-31;SFB9972;ON43;VÅLLÖ;280;Greece;SFB9972;Y;Y;N;;;;;FX;FPO;FPO;;;;;5.40;0.00;1.24;0.00;0.00;16.18;0.00;3;1988-12-01;MFL;;;PA;1979-01-01
SWE;SWE000005788;;MOD;2020-05-07;2100-12-31;SFC2005;VK83;TINA;974;;SFC2005;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;5.20;0.00;0.34;0.00;0.00;12.50;0.00;3;1989-01-12;MFL;;;PA;1980-01-01
SWE;SWE000005795;;MOD;2023-05-30;2100-12-31;SFC2015;MÖ65;FREJA;SEMMA;;SFC2015;Y;Y;N;N;N;N;;FX;GNS;GND;;;;;5.85;0.00;1.18;0.00;0.00;13.00;0.00;3;1989-01-16;MFL;;;PA;1977-01-01
SWE;SWE000005810;;MOD;2020-11-30;2100-12-31;SFC2034;VG120;No name;501;;SFC2034;Y;Y;N;N;;N;;FX;LHP;GND;;;;;4.95;0.00;0.78;0.00;0.00;18.38;0.00;3;1989-02-14;MFL;;;PA;1985-01-01
SWE;SWE000005812;;MOD;2022-02-15;2100-12-31;SFC2039;ÅS33;No name;SEAHU;Åhus;SFC2039;Y;Y;N;N;N;N;;FX;FPO;NO;;;;;6.00;0.00;0.33;0.00;0.00;11.03;0.00;3;1989-02-14;MFL;;;PA;1978-01-01
SWE;SWE000005815;;MOD;2022-05-12;2100-12-31;SFC2042;NG58;No name;SESA2;Sand;SFC2042;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;6.20;0.00;0.88;0.00;0.00;7.35;0.00;3;1989-02-14;MFL;;;PA;1979-01-01
SWE;SWE000005846;;MOD;2020-11-30;2100-12-31;SFC2098;HL34;No name;788;;SFC2098;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.10;0.00;0.70;0.00;0.00;33.09;0.00;3;1989-04-10;MFL;;;PA;1976-01-01
SWE;SWE000005850;;MOD;2020-05-07;2100-12-31;SFC2102;ON52;ÅLEN;290;;SFC2102;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.00;0.00;1.26;0.00;0.00;44.12;0.00;3;1989-04-07;MFL;;;PA;1982-01-01
SWE;SWE000005866;;MOD;2024-05-12;2100-12-31;SFC2128;SD420;No name;SEHAV;Havstenssund;SFC2128;Y;Y;N;N;N;N;;FX;SB;FPO;;;;;5.30;0.00;0.88;0.00;0.00;22.06;0.00;3;1989-04-28;MFL;;;PA;1989-01-01
SWE;SWE000005869;;MOD;2020-05-07;2100-12-31;SFC2132;GG1207;SVANHILD;732;;SFC2132;Y;Y;N;N;;Y;265656780;FX;GND;FPO;;;;;10.20;0.00;7.51;0.00;0.00;275.74;0.00;3;1989-04-28;MFL;;;PA;1989-01-01
SWE;SWE000005924;;MOD;2020-05-07;2100-12-31;SFC2249;SIN123;MAJA-GRÄDDNOS;416;;SFC2249;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;6.10;0.00;0.47;0.00;0.00;13.24;0.00;3;1989-07-05;MFL;;;PA;1984-01-01
SWE;SWE000005925;;MOD;2020-05-07;2100-12-31;SFC2250;SIN124;BLUE JEPPA;416;;SFC2250;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;6.55;0.00;2.08;0.00;0.00;7.35;0.00;1;1989-07-05;MFL;;;PA;1971-01-01
SWE;SWE000005945;;MOD;2024-04-05;2100-12-31;SFC2284;GG54;TEA;SEKLD;Klädesholmen;SFC2284;Y;Y;N;N;N;N;;FX;GND;FPO;;;;;8.25;0.00;5.53;0.00;0.00;101.47;0.00;3;1992-06-25;MFL;;;PA;1988-01-01
SWE;SWE000005960;;MOD;2020-11-30;2100-12-31;SFC2304;GE101;No name;109;Greece;SFC2304;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;5.36;0.00;0.37;0.00;0.00;29.41;0.00;3;1989-08-28;MFL;;;PA;1976-01-01
SWE;SWE000005965;;MOD;2020-05-07;2100-12-31;SFC2310;SD402;INGARÖ;664;;SFC2310;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;7.90;0.00;2.48;0.00;0.00;95.59;0.00;3;1989-08-28;MFL;;;PA;1989-01-01
SWE;SWE000005979;;MOD;2022-10-21;2100-12-31;SFC2340;SD478;No name;SEGRE;Grebbestad;SFC2340;Y;Y;N;N;;N;;FX;FPO;LTL;;;;;6.90;0.00;0.71;0.00;0.00;7.35;0.00;1;1989-10-03;MFL;;;PA;1933-01-01
